"Par","Precio de Apertura","Precio Máximo","Precio Mínimo","Precio de Cierre","Volumen","Número de Operaciones","Variación Porcentual","Timestamp","Orden"
"BTCUSDT","118769.06000000","119082.94000000","118580.36000000","118613.43000000","550.40761000","80529","-0.13103581%","16-07-2025 09:00:00","36"
"BTCUSDT","118736.24000000","118912.36000000","118650.00000000","118769.06000000","419.29991000","50093","0.02764110%","16-07-2025 08:00:00","37"
"BTCUSDT","119193.38000000","119310.75000000","118734.53000000","118736.25000000","614.40925000","67525","-0.38351962%","16-07-2025 07:00:00","38"
"BTCUSDT","118700.00000000","119200.00000000","118693.71000000","119193.37000000","766.24927000","97379","0.41564448%","16-07-2025 06:00:00","39"
"BTCUSDT","118189.24000000","118794.64000000","118113.82000000","118699.99000000","858.41533000","74449","0.43214594%","16-07-2025 05:00:00","40"
"BTCUSDT","118276.30000000","118300.00000000","118046.19000000","118189.25000000","466.50951000","50074","-0.07359885%","16-07-2025 04:00:00","41"
"BTCUSDT","117869.82000000","118285.15000000","117760.00000000","118276.30000000","372.39644000","54719","0.34485503%","16-07-2025 03:00:00","42"
"BTCUSDT","117600.92000000","118000.00000000","117600.92000000","117869.82000000","479.80660000","62501","0.22865467%","16-07-2025 02:00:00","43"
"BTCUSDT","117482.67000000","117700.70000000","117275.63000000","117600.92000000","335.01607000","54675","0.10065314%","16-07-2025 01:00:00","44"
"BTCUSDT","117317.27000000","117519.49000000","117211.25000000","117482.67000000","388.69782000","57244","0.14098521%","16-07-2025 00:00:00","45"
"BTCUSDT","117724.29000000","117752.87000000","117017.29000000","117317.27000000","578.37446000","98005","-0.34574003%","15-07-2025 23:00:00","46"
"BTCUSDT","118112.90000000","118195.00000000","117582.12000000","117724.29000000","470.76557000","74463","-0.32901571%","15-07-2025 22:00:00","47"
"BTCUSDT","117758.08000000","118178.00000000","117425.27000000","118112.89000000","622.87077000","83742","0.30130417%","15-07-2025 21:00:00","48"
"BTCUSDT","117827.74000000","117972.86000000","117500.00000000","117758.09000000","394.60478000","57548","-0.05911172%","15-07-2025 20:00:00","49"
"BTCUSDT","117553.91000000","117868.52000000","117263.66000000","117827.74000000","634.19704000","63017","0.23293993%","15-07-2025 19:00:00","50"
"BTCUSDT","116419.01000000","117600.00000000","116350.00000000","117553.92000000","613.20681000","96417","0.97484938%","15-07-2025 18:00:00","51"
"BTCUSDT","116416.07000000","116725.02000000","116192.27000000","116419.02000000","604.23115000","93759","0.00253401%","15-07-2025 17:00:00","52"
"BTCUSDT","116719.55000000","117204.50000000","116282.38000000","116416.07000000","1053.82399000","146350","-0.26000786%","15-07-2025 16:00:00","53"
"BTCUSDT","117373.00000000","117380.00000000","116019.05000000","116719.55000000","1721.15939000","197801","-0.55672940%","15-07-2025 15:00:00","54"
"BTCUSDT","117188.00000000","117538.46000000","117140.00000000","117372.99000000","995.72856000","122684","0.15785746%","15-07-2025 14:00:00","55"
"BTCUSDT","116391.43000000","117800.60000000","116362.97000000","117188.01000000","1624.68167000","190594","0.68439747%","15-07-2025 13:00:00","56"
"BTCUSDT","116008.20000000","116750.00000000","115800.00000000","116391.43000000","2299.77308000","223457","0.33034734%","15-07-2025 12:00:00","57"
"BTCUSDT","118088.13000000","118458.31000000","115736.92000000","116008.19000000","2687.57274000","295283","-1.76134553%","15-07-2025 11:00:00","58"
"BTCUSDT","117204.18000000","118490.71000000","117157.25000000","118088.13000000","2210.06348000","311983","0.75419665%","15-07-2025 10:00:00","59"
"BTCUSDT","117113.98000000","117466.52000000","116417.00000000","117204.18000000","1464.86775000","193734","0.07701899%","15-07-2025 09:00:00","60"
"BTCUSDT","117016.49000000","117161.52000000","116338.30000000","117113.98000000","751.22184000","97702","0.08331304%","15-07-2025 08:00:00","61"
"BTCUSDT","116780.00000000","117198.21000000","116744.48000000","117016.48000000","853.89059000","83390","0.20250043%","15-07-2025 07:00:00","62"
"BTCUSDT","116777.47000000","117224.08000000","116711.67000000","116779.99000000","920.92254000","81594","0.00215795%","15-07-2025 06:00:00","63"
"BTCUSDT","116779.13000000","116862.02000000","116300.00000000","116777.47000000","1086.30795000","101820","-0.00142149%","15-07-2025 05:00:00","64"
"BTCUSDT","117070.54000000","117270.86000000","116400.00000000","116779.12000000","1413.22370000","131372","-0.24892684%","15-07-2025 04:00:00","65"
"BTCUSDT","117335.12000000","117335.12000000","116766.00000000","117070.54000000","1050.33694000","125794","-0.22549088%","15-07-2025 03:00:00","66"
"BTCUSDT","117480.48000000","117765.40000000","116962.97000000","117335.12000000","1161.25519000","119969","-0.12373119%","15-07-2025 02:00:00","67"
"BTCUSDT","117148.46000000","117511.33000000","116250.00000000","117480.48000000","1853.98992000","196138","0.28341815%","15-07-2025 01:00:00","68"
"BTCUSDT","118251.04000000","118251.04000000","116840.01000000","117148.47000000","2365.70802000","295933","-0.93239772%","15-07-2025 00:00:00","69"
"BTCUSDT","118431.71000000","118855.56000000","117827.46000000","118251.05000000","1830.73981000","265181","-0.15254361%","14-07-2025 23:00:00","70"
"BTCUSDT","119497.93000000","119537.22000000","118352.09000000","118431.71000000","1780.21194000","213232","-0.89224977%","14-07-2025 22:00:00","71"
"BTCUSDT","119841.17000000","119940.83000000","119110.00000000","119497.92000000","646.74195000","100622","-0.28642077%","14-07-2025 21:00:00","72"
"BTCUSDT","120057.01000000","120057.01000000","119766.05000000","119841.18000000","274.46733000","40820","-0.17977293%","14-07-2025 20:00:00","73"
"BTCUSDT","120034.97000000","120300.00000000","119924.00000000","120057.01000000","297.55117000","58450","0.01836132%","14-07-2025 19:00:00","74"
