"Par","Precio de Apertura","Precio Máximo","Precio Mínimo","Precio de Cierre","Volumen","Número de Operaciones","Variación Porcentual","Timestamp","Orden"
"BTCUSDT","117350.00000000","117362.00000000","117017.29000000","117107.94000000","104.19544000","27719","-0.20627184%","15-07-2025 23:30:00","181"
"BTCUSDT","117508.36000000","117537.53000000","117239.26000000","117350.00000000","232.85369000","31028","-0.13476488%","15-07-2025 23:15:00","182"
"BTCUSDT","117724.29000000","117752.87000000","117420.53000000","117508.36000000","121.66476000","25175","-0.18342009%","15-07-2025 23:00:00","183"
"BTCUSDT","117652.66000000","117769.87000000","117595.84000000","117724.29000000","124.89727000","18502","0.06088260%","15-07-2025 22:45:00","184"
"BTCUSDT","117663.57000000","117791.78000000","117582.12000000","117652.66000000","103.18912000","22546","-0.00927220%","15-07-2025 22:30:00","185"
"BTCUSDT","117913.71000000","117946.65000000","117644.49000000","117663.57000000","110.19597000","13649","-0.21213818%","15-07-2025 22:15:00","186"
"BTCUSDT","118112.90000000","118195.00000000","117891.49000000","117913.71000000","132.48321000","19766","-0.16864373%","15-07-2025 22:00:00","187"
"BTCUSDT","117920.00000000","118178.00000000","117884.01000000","118112.89000000","227.94110000","28422","0.16357700%","15-07-2025 21:45:00","188"
"BTCUSDT","117584.27000000","117920.00000000","117584.26000000","117920.00000000","162.00841000","18669","0.28552288%","15-07-2025 21:30:00","189"
"BTCUSDT","117436.54000000","117672.70000000","117434.19000000","117584.27000000","122.63480000","17688","0.12579560%","15-07-2025 21:15:00","190"
"BTCUSDT","117758.08000000","117789.06000000","117425.27000000","117436.55000000","110.28646000","18963","-0.27304283%","15-07-2025 21:00:00","191"
"BTCUSDT","117784.64000000","117794.02000000","117630.00000000","117758.09000000","63.09778000","10868","-0.02254114%","15-07-2025 20:45:00","192"
"BTCUSDT","117576.53000000","117784.65000000","117500.00000000","117784.65000000","87.72558000","13535","0.17700812%","15-07-2025 20:30:00","193"
"BTCUSDT","117833.01000000","117859.61000000","117556.52000000","117576.54000000","75.58643000","13225","-0.21765548%","15-07-2025 20:15:00","194"
"BTCUSDT","117827.74000000","117972.86000000","117741.93000000","117833.00000000","168.19499000","19920","0.00446414%","15-07-2025 20:00:00","195"
"BTCUSDT","117729.27000000","117868.52000000","117655.10000000","117827.74000000","119.91992000","13530","0.08364105%","15-07-2025 19:45:00","196"
"BTCUSDT","117527.72000000","117792.00000000","117263.66000000","117729.27000000","163.61700000","15621","0.17149146%","15-07-2025 19:30:00","197"
"BTCUSDT","117480.64000000","117584.56000000","117455.45000000","117527.72000000","112.66147000","9176","0.04007469%","15-07-2025 19:15:00","198"
"BTCUSDT","117553.91000000","117596.48000000","117281.51000000","117480.63000000","237.99865000","24690","-0.06233736%","15-07-2025 19:00:00","199"
