"Par","Precio de Apertura","Precio Máximo","Precio Mínimo","Precio de Cierre","Volumen","Número de Operaciones","Variación Porcentual","Timestamp","Orden"
"BTCUSDT","119616.05000000","119663.26000000","119598.09000000","119600.00000000","8.57541000","1326","-0.01341793%","17-07-2025 20:30:00","1"
"BTCUSDT","119553.06000000","119616.05000000","119481.88000000","119616.05000000","38.05856000","4278","0.05268790%","17-07-2025 20:25:00","2"
"BTCUSDT","119486.71000000","119595.99000000","119446.66000000","119553.07000000","52.45861000","10670","0.05553756%","17-07-2025 20:20:00","3"
"BTCUSDT","119731.29000000","119879.35000000","119476.38000000","119486.71000000","150.00131000","18073","-0.20427409%","17-07-2025 20:15:00","4"
"BTCUSDT","119775.92000000","119850.00000000","119715.89000000","119731.30000000","47.62868000","9822","-0.03725290%","17-07-2025 20:10:00","5"
"BTCUSDT","119799.71000000","119879.35000000","119582.09000000","119775.91000000","53.67604000","11327","-0.01986649%","17-07-2025 20:05:00","6"
"BTCUSDT","119766.70000000","119832.00000000","119650.00000000","119799.72000000","54.66914000","7176","0.02757027%","17-07-2025 20:00:00","7"
"BTCUSDT","119619.93000000","119787.62000000","119547.26000000","119766.71000000","48.91570000","6937","0.12270531%","17-07-2025 19:55:00","8"
"BTCUSDT","120050.72000000","120050.72000000","119485.71000000","119619.94000000","126.24604000","21140","-0.35883167%","17-07-2025 19:50:00","9"
"BTCUSDT","120168.87000000","120337.52000000","120031.53000000","120050.71000000","57.79479000","8018","-0.09832829%","17-07-2025 19:45:00","10"
"BTCUSDT","120156.66000000","120269.70000000","120133.11000000","120168.87000000","27.07496000","5017","0.01016173%","17-07-2025 19:40:00","11"
"BTCUSDT","120187.93000000","120201.57000000","120084.21000000","120156.66000000","30.09785000","4433","-0.02601759%","17-07-2025 19:35:00","12"
"BTCUSDT","120081.99000000","120250.00000000","120081.99000000","120187.93000000","45.95951000","6903","0.08822305%","17-07-2025 19:30:00","13"
"BTCUSDT","120144.75000000","120246.73000000","120050.00000000","120081.99000000","46.43023000","7681","-0.05223699%","17-07-2025 19:25:00","14"
"BTCUSDT","120560.60000000","120560.61000000","120144.74000000","120144.74000000","73.61067000","10266","-0.34493856%","17-07-2025 19:20:00","15"
"BTCUSDT","120435.55000000","120693.35000000","120435.55000000","120560.60000000","53.70191000","8311","0.10383147%","17-07-2025 19:15:00","16"
"BTCUSDT","120178.10000000","120435.56000000","120109.90000000","120435.55000000","58.91047000","6734","0.21422372%","17-07-2025 19:10:00","17"
"BTCUSDT","120297.89000000","120297.89000000","120131.29000000","120178.10000000","66.28507000","7898","-0.09957781%","17-07-2025 19:05:00","18"
"BTCUSDT","120272.19000000","120413.59000000","120193.00000000","120297.88000000","60.67151000","9917","0.02135988%","17-07-2025 19:00:00","19"
"BTCUSDT","120440.66000000","120500.00000000","120200.00000000","120272.19000000","102.39991000","9921","-0.13987801%","17-07-2025 18:55:00","20"
"BTCUSDT","120599.99000000","120600.00000000","120293.55000000","120440.66000000","48.41347000","7794","-0.13211444%","17-07-2025 18:50:00","21"
"BTCUSDT","120605.58000000","120761.09000000","120456.17000000","120599.99000000","56.61135000","10857","-0.00463494%","17-07-2025 18:45:00","22"
"BTCUSDT","120311.99000000","120605.58000000","120185.45000000","120605.57000000","45.63307000","11359","0.24401558%","17-07-2025 18:40:00","23"
"BTCUSDT","120755.11000000","120755.11000000","120058.18000000","120311.99000000","164.78291000","31258","-0.36695756%","17-07-2025 18:35:00","24"
"BTCUSDT","120899.36000000","120915.75000000","120530.66000000","120755.12000000","125.23970000","25339","-0.11930584%","17-07-2025 18:30:00","25"
"BTCUSDT","120917.59000000","120934.14000000","120519.45000000","120899.36000000","207.13988000","28014","-0.01507638%","17-07-2025 18:25:00","26"
"BTCUSDT","120482.28000000","120998.71000000","120482.28000000","120917.58000000","355.92946000","24305","0.36129794%","17-07-2025 18:20:00","27"
"BTCUSDT","120066.00000000","120488.33000000","120065.99000000","120482.29000000","199.11365000","23918","0.34671764%","17-07-2025 18:15:00","28"
"BTCUSDT","119868.00000000","120080.00000000","119818.00000000","120065.99000000","238.62872000","20607","0.16517336%","17-07-2025 18:10:00","29"
"BTCUSDT","119799.60000000","120000.00000000","119798.00000000","119868.00000000","157.12911000","13723","0.05709535%","17-07-2025 18:05:00","30"
"BTCUSDT","119436.86000000","119826.92000000","119431.93000000","119799.60000000","168.77227000","20723","0.30370859%","17-07-2025 18:00:00","31"
"BTCUSDT","119189.26000000","119436.87000000","119106.97000000","119436.86000000","39.35364000","5867","0.20773684%","17-07-2025 17:55:00","32"
"BTCUSDT","119259.38000000","119259.38000000","119118.97000000","119189.27000000","23.71480000","6219","-0.05878783%","17-07-2025 17:50:00","33"
"BTCUSDT","119261.04000000","119331.59000000","119247.29000000","119259.52000000","18.23625000","3814","-0.00127452%","17-07-2025 17:45:00","34"
"BTCUSDT","119345.70000000","119411.71000000","119261.04000000","119261.05000000","32.99176000","5705","-0.07092840%","17-07-2025 17:40:00","35"
"BTCUSDT","119090.57000000","119345.71000000","119090.57000000","119345.71000000","26.65233000","5891","0.21424030%","17-07-2025 17:35:00","36"
"BTCUSDT","119039.46000000","119218.88000000","119039.45000000","119090.57000000","42.94459000","6937","0.04293534%","17-07-2025 17:30:00","37"
"BTCUSDT","118914.09000000","119142.75000000","118914.09000000","119039.46000000","59.81870000","10181","0.10542905%","17-07-2025 17:25:00","38"
"BTCUSDT","118853.60000000","118914.10000000","118631.49000000","118914.10000000","68.75588000","12714","0.05090296%","17-07-2025 17:20:00","39"
"BTCUSDT","118780.00000000","118911.64000000","118742.00000000","118853.59000000","47.07980000","9148","0.06195487%","17-07-2025 17:15:00","40"
"BTCUSDT","118475.99000000","118815.25000000","118462.40000000","118780.00000000","49.87116000","7216","0.25660051%","17-07-2025 17:10:00","41"
"BTCUSDT","118747.92000000","118747.92000000","118383.97000000","118476.00000000","107.48674000","20977","-0.22898927%","17-07-2025 17:05:00","42"
"BTCUSDT","118959.66000000","119000.20000000","118700.00000000","118747.92000000","66.49389000","11312","-0.17799311%","17-07-2025 17:00:00","43"
"BTCUSDT","119118.47000000","119118.47000000","118821.06000000","118959.66000000","69.20067000","13191","-0.13332105%","17-07-2025 16:55:00","44"
"BTCUSDT","119283.97000000","119300.00000000","119118.47000000","119118.48000000","33.01437000","7739","-0.13873616%","17-07-2025 16:50:00","45"
"BTCUSDT","119512.42000000","119512.43000000","119125.55000000","119283.97000000","120.08366000","11499","-0.19115168%","17-07-2025 16:45:00","46"
"BTCUSDT","119569.06000000","119650.92000000","119466.22000000","119512.42000000","31.89233000","5615","-0.04737011%","17-07-2025 16:40:00","47"
"BTCUSDT","119648.60000000","119688.51000000","119533.38000000","119569.07000000","31.09922000","5300","-0.06646965%","17-07-2025 16:35:00","48"
"BTCUSDT","119656.09000000","119656.10000000","119608.87000000","119648.60000000","31.28978000","3730","-0.00625961%","17-07-2025 16:30:00","49"
"BTCUSDT","119761.73000000","119761.73000000","119654.38000000","119656.09000000","36.48054000","5092","-0.08820848%","17-07-2025 16:25:00","50"
"BTCUSDT","119812.60000000","119832.84000000","119645.43000000","119761.73000000","58.92270000","5980","-0.04245797%","17-07-2025 16:20:00","51"
"BTCUSDT","119807.02000000","119857.85000000","119765.63000000","119812.59000000","39.09551000","5129","0.00464914%","17-07-2025 16:15:00","52"
