"Par","Precio de Apertura","Precio Máximo","Precio Mínimo","Precio de Cierre","Volumen","Número de Operaciones","Variación Porcentual","Timestamp","Orden"
"BTCUSDT","119616.05000000","119663.26000000","119598.09000000","119647.91000000","6.11573000","707","0.02663522%","17-07-2025 20:30:00","1"
"BTCUSDT","119766.70000000","119879.35000000","119446.66000000","119616.05000000","396.49234000","61346","-0.12578622%","17-07-2025 20:00:00","2"
"BTCUSDT","120081.99000000","120337.52000000","119485.71000000","119766.71000000","336.08885000","52448","-0.26255394%","17-07-2025 19:30:00","3"
"BTCUSDT","120272.19000000","120693.35000000","120050.00000000","120081.99000000","359.60986000","50807","-0.15814130%","17-07-2025 19:00:00","4"
"BTCUSDT","120899.36000000","120915.75000000","120058.18000000","120272.19000000","543.08041000","96528","-0.51875378%","17-07-2025 18:30:00","5"
"BTCUSDT","119436.86000000","120998.71000000","119431.93000000","120899.36000000","1326.71309000","131290","1.22449636%","17-07-2025 18:00:00","6"
"BTCUSDT","119039.46000000","119436.87000000","119039.45000000","119436.86000000","183.89337000","34433","0.33383888%","17-07-2025 17:30:00","7"
"BTCUSDT","118959.66000000","119142.75000000","118383.97000000","119039.46000000","399.50617000","71548","0.06708156%","17-07-2025 17:00:00","8"
"BTCUSDT","119656.09000000","119688.51000000","118821.06000000","118959.66000000","316.58003000","47074","-0.58202637%","17-07-2025 16:30:00","9"
"BTCUSDT","119580.00000000","119880.13000000","119580.00000000","119656.09000000","321.89847000","32333","0.06363104%","17-07-2025 16:00:00","10"
"BTCUSDT","119685.50000000","119780.67000000","119480.00000000","119580.00000000","251.23848000","32394","-0.08814769%","17-07-2025 15:30:00","11"
"BTCUSDT","119261.51000000","119735.67000000","119211.94000000","119685.50000000","437.91336000","47226","0.35551286%","17-07-2025 15:00:00","12"
"BTCUSDT","118706.39000000","119328.89000000","118500.00000000","119261.50000000","352.35202000","42539","0.46763279%","17-07-2025 14:30:00","13"
"BTCUSDT","118558.61000000","118947.55000000","118544.14000000","118706.40000000","203.27190000","33075","0.12465565%","17-07-2025 14:00:00","14"
"BTCUSDT","118559.99000000","118610.00000000","118333.60000000","118558.61000000","308.47265000","48073","-0.00116397%","17-07-2025 13:30:00","15"
"BTCUSDT","118881.99000000","118954.66000000","118501.87000000","118559.99000000","242.21354000","49522","-0.27085684%","17-07-2025 13:00:00","16"
"BTCUSDT","118513.83000000","119073.46000000","118513.82000000","118881.99000000","326.42917000","46907","0.31064729%","17-07-2025 12:30:00","17"
"BTCUSDT","118770.94000000","118879.00000000","118334.34000000","118513.83000000","266.06937000","49243","-0.21647551%","17-07-2025 12:00:00","18"
"BTCUSDT","118693.09000000","118834.20000000","118500.00000000","118770.94000000","243.71305000","45073","0.06558933%","17-07-2025 11:30:00","19"
"BTCUSDT","118281.99000000","118700.00000000","118141.47000000","118693.09000000","451.57620000","69112","0.34755925%","17-07-2025 11:00:00","20"
"BTCUSDT","117903.99000000","118446.19000000","117520.60000000","118281.99000000","543.13508000","104492","0.32059984%","17-07-2025 10:30:00","21"
"BTCUSDT","117867.08000000","118018.40000000","117660.00000000","117904.00000000","302.93707000","46051","0.03132342%","17-07-2025 10:00:00","22"
"BTCUSDT","117472.17000000","118183.74000000","117453.57000000","117867.08000000","497.49767000","66827","0.33617324%","17-07-2025 09:30:00","23"
"BTCUSDT","117995.00000000","118092.00000000","117471.67000000","117472.17000000","544.43722000","51156","-0.44309505%","17-07-2025 09:00:00","24"
"BTCUSDT","118173.30000000","118213.66000000","117974.99000000","117995.00000000","266.98836000","30226","-0.15088011%","17-07-2025 08:30:00","25"
"BTCUSDT","118340.00000000","118398.82000000","118152.00000000","118173.29000000","221.33938000","36342","-0.14087375%","17-07-2025 08:00:00","26"
"BTCUSDT","118563.30000000","118563.30000000","118241.24000000","118340.01000000","183.88711000","35657","-0.18832978%","17-07-2025 07:30:00","27"
"BTCUSDT","118769.34000000","118869.73000000","118530.00000000","118563.30000000","218.80983000","44942","-0.17347912%","17-07-2025 07:00:00","28"
